 Deff   Wavelength  Qext              Qabs              Qsca              Albedo            Parea             Volume            Gfactor
   10        12.70  1.8692662700e+00  1.0586500750e+00  8.1061619500e-01  4.3365474893e-01  2.8320736700e+02  1.8880576200e+03  8.4843369679e-01
   10        12.80  1.8894220600e+00  1.0621472010e+00  8.2727485900e-01  4.3784545365e-01  2.8320736700e+02  1.8880576200e+03  8.4788407912e-01
   10        12.90  1.9056640900e+00  1.0605589780e+00  8.4510511200e-01  4.4347013539e-01  2.8320736700e+02  1.8880576200e+03  8.4646779891e-01
   10        13.00  1.9225920400e+00  1.0589266980e+00  8.6366534200e-01  4.4921924362e-01  2.8320736700e+02  1.8880576200e+03  8.4510893804e-01
   10        13.10  1.9352874800e+00  1.0543383400e+00  8.8094914000e-01  4.5520324453e-01  2.8320736700e+02  1.8880576200e+03  8.4366605545e-01
   10        13.20  1.9482755700e+00  1.0496624750e+00  8.9861309500e-01  4.6123510906e-01  2.8320736700e+02  1.8880576200e+03  8.4219950078e-01
   10        13.30  1.9622103000e+00  1.0451156520e+00  9.1709464800e-01  4.6737836816e-01  2.8320736700e+02  1.8880576200e+03  8.4075899983e-01
   10        13.40  1.9728802400e+00  1.0387623860e+00  9.3411785400e-01  4.7347924880e-01  2.8320736700e+02  1.8880576200e+03  8.3928569681e-01
   10        13.50  1.9819601800e+00  1.0312470220e+00  9.5071315800e-01  4.7968327901e-01  2.8320736700e+02  1.8880576200e+03  8.3778200007e-01
   10        13.60  1.9919866300e+00  1.0239937880e+00  9.6799284200e-01  4.8594344331e-01  2.8320736700e+02  1.8880576200e+03  8.3626550722e-01
   10        13.70  2.0002162500e+00  1.0171850370e+00  9.8303121300e-01  4.9146246712e-01  2.8320736700e+02  1.8880576200e+03  8.3522385672e-01
   10        13.80  2.0080137300e+00  1.0069038900e+00  1.0011098400e+00  4.9855726833e-01  2.8320736700e+02  1.8880576200e+03  8.3337649743e-01
   10        13.90  2.0157880800e+00  9.9669593600e-01  1.0190921440e+00  5.0555519904e-01  2.8320736700e+02  1.8880576200e+03  8.3154044530e-01
   10        14.00  2.0219333200e+00  9.8352575300e-01  1.0384075670e+00  5.1357161818e-01  2.8320736700e+02  1.8880576200e+03  8.2961972561e-01
   10        14.10  2.0255506000e+00  9.6877491500e-01  1.0567756850e+00  5.2172267876e-01  2.8320736700e+02  1.8880576200e+03  8.2752153931e-01
   10        14.20  2.0302467300e+00  9.5410013200e-01  1.0761465980e+00  5.3005705272e-01  2.8320736700e+02  1.8880576200e+03  8.2542774939e-01
   10        14.30  2.0295608000e+00  9.3790829200e-01  1.0916525080e+00  5.3787622820e-01  2.8320736700e+02  1.8880576200e+03  8.2393302322e-01
   10        14.40  2.0253622500e+00  9.1787022400e-01  1.1074920260e+00  5.4681182391e-01  2.8320736700e+02  1.8880576200e+03  8.2181553334e-01
   10        14.50  2.0210418700e+00  8.9779466400e-01  1.1232472060e+00  5.5577631650e-01  2.8320736700e+02  1.8880576200e+03  8.1964954819e-01
   10        14.60  2.0163993800e+00  8.7772291900e-01  1.1386764610e+00  5.6470780159e-01  2.8320736700e+02  1.8880576200e+03  8.1743175322e-01
   10        14.70  2.0121874800e+00  8.5762506700e-01  1.1545624130e+00  5.7378471165e-01  2.8320736700e+02  1.8880576200e+03  8.1516186198e-01
   10        14.80  2.0033206900e+00  8.3800208600e-01  1.1653186040e+00  5.8169349012e-01  2.8320736700e+02  1.8880576200e+03  8.1308076166e-01
   10        14.90  1.9908813200e+00  8.1884151700e-01  1.1720398030e+00  5.8870400321e-01  2.8320736700e+02  1.8880576200e+03  8.1119317754e-01
   10        15.00  1.9774498900e+00  7.9972153900e-01  1.1777283510e+00  5.9557936560e-01  2.8320736700e+02  1.8880576200e+03  8.0924069158e-01
   10        15.10  1.9643825300e+00  7.8120249500e-01  1.1831800350e+00  6.0231651266e-01  2.8320736700e+02  1.8880576200e+03  8.0768104196e-01
   10        15.20  1.9513151600e+00  7.6268351100e-01  1.1886316490e+00  6.0914386019e-01  2.8320736700e+02  1.8880576200e+03  8.0613556689e-01
   10        15.30  1.9368238400e+00  7.4761831800e-01  1.1892055220e+00  6.1399777173e-01  2.8320736700e+02  1.8880576200e+03  8.0477574553e-01
   10        15.40  1.9209085700e+00  7.3600691600e-01  1.1849016540e+00  6.1684437901e-01  2.8320736700e+02  1.8880576200e+03  8.0358439520e-01
   10        15.50  1.9049934100e+00  7.2439551400e-01  1.1805978960e+00  6.1973857222e-01  2.8320736700e+02  1.8880576200e+03  8.0238430206e-01
   10        15.60  1.8890781400e+00  7.1278417100e-01  1.1762939690e+00  6.2268147839e-01  2.8320736700e+02  1.8880576200e+03  8.0117555903e-01
   10        15.70  1.8731629800e+00  7.0117276900e-01  1.1719902110e+00  6.2567444665e-01  2.8320736700e+02  1.8880576200e+03  7.9995785715e-01
   10        15.80  1.8572477100e+00  6.8956136700e-01  1.1676863430e+00  6.2871868772e-01  2.8320736700e+02  1.8880576200e+03  7.9873113357e-01
   10        15.90  1.8413325500e+00  6.7795002500e-01  1.1633825250e+00  6.3181554304e-01  2.8320736700e+02  1.8880576200e+03  7.9749537927e-01
   10        16.00  1.8254172800e+00  6.6633862300e-01  1.1590786570e+00  6.3496640998e-01  2.8320736700e+02  1.8880576200e+03  7.9625044708e-01
   10        16.10  1.8095021200e+00  6.5472722100e-01  1.1547748990e+00  6.3817272510e-01  2.8320736700e+02  1.8880576200e+03  7.9499624212e-01
   10        16.20  1.7935868500e+00  6.4311587800e-01  1.1504709720e+00  6.4143588698e-01  2.8320736700e+02  1.8880576200e+03  7.9373259523e-01
   10        16.30  1.7776716900e+00  6.3150447600e-01  1.1461672140e+00  6.4475753338e-01  2.8320736700e+02  1.8880576200e+03  7.9245959289e-01
   10        16.40  1.7617565400e+00  6.1989313400e-01  1.1418634060e+00  6.4813916116e-01  2.8320736700e+02  1.8880576200e+03  7.9117691097e-01
   10        16.50  1.7523522400e+00  6.1186170600e-01  1.1404905340e+00  6.5083406633e-01  2.8320736700e+02  1.8880576200e+03  7.8997526880e-01
   10        16.60  1.7429480600e+00  6.0383033800e-01  1.1391177220e+00  6.5355804234e-01  2.8320736700e+02  1.8880576200e+03  7.8877077516e-01
   10        16.70  1.7335437500e+00  5.9579896900e-01  1.1377447810e+00  6.5631154737e-01  2.8320736700e+02  1.8880576200e+03  7.8756346480e-01
   10        16.80  1.7241395700e+00  5.8776754100e-01  1.1363720290e+00  6.5909515028e-01  2.8320736700e+02  1.8880576200e+03  7.8635314720e-01
   10        16.90  1.7147352700e+00  5.7973617300e-01  1.1349990970e+00  6.6190922696e-01  2.8320736700e+02  1.8880576200e+03  7.8513990266e-01
   10        17.00  1.7053310900e+00  5.7170480500e-01  1.1336262850e+00  6.6475436450e-01  2.8320736700e+02  1.8880576200e+03  7.8392375575e-01
   10        17.10  1.6920417500e+00  5.5814689400e-01  1.1338948560e+00  6.7013408859e-01  2.8320736700e+02  1.8880576200e+03  7.8250362741e-01
   10        17.20  1.6787524200e+00  5.4458898300e-01  1.1341634370e+00  6.7559898856e-01  2.8320736700e+02  1.8880576200e+03  7.8108425461e-01
   10        17.30  1.6654632100e+00  5.3103107200e-01  1.1344321380e+00  6.8115112432e-01  2.8320736700e+02  1.8880576200e+03  7.7966555301e-01
   10        17.40  1.6521738800e+00  5.1747316100e-01  1.1347007190e+00  6.8679255418e-01  2.8320736700e+02  1.8880576200e+03  7.7824752389e-01
   10        17.50  1.6388845400e+00  5.0391525000e-01  1.1349692900e+00  6.9252547223e-01  2.8320736700e+02  1.8880576200e+03  7.7683003775e-01
   10        17.60  1.6224470100e+00  4.9040970200e-01  1.1320373080e+00  6.9773453372e-01  2.8320736700e+02  1.8880576200e+03  7.7531294994e-01
   10        17.70  1.6060094800e+00  4.7690421300e-01  1.1291052670e+00  7.0305018810e-01  2.8320736700e+02  1.8880576200e+03  7.7378789984e-01
   10        17.80  1.5895719500e+00  4.6339869500e-01  1.1261732550e+00  7.0847579753e-01  2.8320736700e+02  1.8880576200e+03  7.7225493882e-01
   10        17.90  1.5731344200e+00  4.4989317700e-01  1.1232412430e+00  7.1401479029e-01  2.8320736700e+02  1.8880576200e+03  7.7071394570e-01
   10        18.00  1.5566968900e+00  4.3638768800e-01  1.1203092020e+00  7.1967073950e-01  2.8320736700e+02  1.8880576200e+03  7.6916497510e-01
   10        18.10  1.5392072200e+00  4.2845234300e-01  1.1107548770e+00  7.2164089576e-01  2.8320736700e+02  1.8880576200e+03  7.6830451382e-01
   10        18.20  1.5217174300e+00  4.2051702700e-01  1.1012004030e+00  7.2365629866e-01  2.8320736700e+02  1.8880576200e+03  7.6742926632e-01
   10        18.30  1.5042276400e+00  4.1258171200e-01  1.0916459280e+00  7.2571856744e-01  2.8320736700e+02  1.8880576200e+03  7.6653855248e-01
   10        18.40  1.4867378500e+00  4.0464636700e-01  1.0820914830e+00  7.2782937691e-01  2.8320736700e+02  1.8880576200e+03  7.6563217104e-01
   10        18.50  1.4692481800e+00  3.9671105100e-01  1.0725371290e+00  7.2999044246e-01  2.8320736700e+02  1.8880576200e+03  7.6470967073e-01
   10        18.60  1.4517583800e+00  3.8877573600e-01  1.0629826440e+00  7.3220355305e-01  2.8320736700e+02  1.8880576200e+03  7.6377054986e-01
   10        18.70  1.4342685900e+00  3.8084039100e-01  1.0534281990e+00  7.3447066076e-01  2.8320736700e+02  1.8880576200e+03  7.6281443186e-01
   10        18.80  1.4167788000e+00  3.7290507600e-01  1.0438737240e+00  7.3679372108e-01  2.8320736700e+02  1.8880576200e+03  7.6184077292e-01
   10        18.90  1.4060161100e+00  3.7227621700e-01  1.0337398930e+00  7.3522620804e-01  2.8320736700e+02  1.8880576200e+03  7.6120189399e-01
   10        19.00  1.3952534200e+00  3.7164735800e-01  1.0236060620e+00  7.3363451207e-01  2.8320736700e+02  1.8880576200e+03  7.6055041526e-01
   10        19.10  1.3844907300e+00  3.7101849900e-01  1.0134722310e+00  7.3201806920e-01  2.8320736700e+02  1.8880576200e+03  7.5988575988e-01
   10        19.20  1.3737280400e+00  3.7038964000e-01  1.0033384000e+00  7.3037629777e-01  2.8320736700e+02  1.8880576200e+03  7.5920782803e-01
   10        19.30  1.3629654600e+00  3.6976078200e-01  9.9320467800e-01  7.2870861893e-01  2.8320736700e+02  1.8880576200e+03  7.5851600723e-01
   10        19.40  1.3522027700e+00  3.6913192300e-01  9.8307084700e-01  7.2701437152e-01  2.8320736700e+02  1.8880576200e+03  7.5780993477e-01
   10        19.50  1.3414400800e+00  3.6850306400e-01  9.7293701600e-01  7.2529293742e-01  2.8320736700e+02  1.8880576200e+03  7.5708909321e-01
   10        19.60  1.3283231300e+00  3.5763797200e-01  9.7068515800e-01  7.3075980993e-01  2.8320736700e+02  1.8880576200e+03  7.5577053965e-01
   10        19.70  1.3152061700e+00  3.4677285000e-01  9.6843332000e-01  7.3633574879e-01  2.8320736700e+02  1.8880576200e+03  7.5444585231e-01
   10        19.80  1.3020892100e+00  3.3590772700e-01  9.6618148300e-01  7.4202402998e-01  2.8320736700e+02  1.8880576200e+03  7.5311499193e-01
   10        19.90  1.2889721400e+00  3.2504263500e-01  9.6392950500e-01  7.4782803684e-01  2.8320736700e+02  1.8880576200e+03  7.5177786584e-01
   10        20.00  1.2758551800e+00  3.1417751300e-01  9.6167766700e-01  7.5375143047e-01  2.8320736700e+02  1.8880576200e+03  7.5043452550e-01
   10        20.10  1.2627382300e+00  3.0331242100e-01  9.5942580900e-01  7.5979786325e-01  2.8320736700e+02  1.8880576200e+03  7.4908487849e-01
   10        20.20  1.2496212700e+00  2.9244729900e-01  9.5717397100e-01  7.6597125383e-01  2.8320736700e+02  1.8880576200e+03  7.4772888081e-01
   10        20.30  1.2365043200e+00  2.8158217700e-01  9.5492214300e-01  7.7227562213e-01  2.8320736700e+02  1.8880576200e+03  7.4636648806e-01
   10        20.40  1.2233873600e+00  2.7071708400e-01  9.5267027600e-01  7.7871515364e-01  2.8320736700e+02  1.8880576200e+03  7.4499754551e-01
   10        20.50  1.2102704000e+00  2.5985196200e-01  9.5041843800e-01  7.8529429291e-01  2.8320736700e+02  1.8880576200e+03  7.4362222623e-01
   10        20.60  1.1971534500e+00  2.4898685500e-01  9.4816659500e-01  7.9201759390e-01  2.8320736700e+02  1.8880576200e+03  7.4224037350e-01
   10        20.70  1.1840364900e+00  2.3812174800e-01  9.4591474200e-01  7.9888985685e-01  2.8320736700e+02  1.8880576200e+03  7.4085194221e-01
