 Deff   Wavelength   Qext              Qabs              Qsca              Albedo            Parea             Volume            Gfactor
   10    1.5870000	 2.3036327400e+00  9.0554980600e-03  2.2945772419e+00  9.9606903570e-01  5.6478466000e+01  3.7649154700e+02  8.0311121554e-01
   10    1.6130000	 2.3066353800e+00  7.6366262500e-03  2.2989987537e+00  9.9668927897e-01  5.6478466000e+01  3.7649154700e+02  8.0146876036e-01
   10    1.6390000	 2.3094823400e+00  6.7797778200e-03  2.3027025622e+00  9.9706437339e-01  5.6478466000e+01  3.7649154700e+02  8.0022714007e-01
   10    1.6670000	 2.3132383800e+00  6.3239289400e-03  2.3069144511e+00  9.9726620093e-01  5.6478466000e+01  3.7649151600e+02  7.9868112325e-01
   10    1.6950000	 2.3165862600e+00  6.3151083900e-03  2.3102711516e+00  9.9727395932e-01  5.6478466000e+01  3.7649154700e+02  7.9730513609e-01
   10    1.7240000	 2.3198227900e+00  6.9676577100e-03  2.3128551323e+00  9.9699646984e-01  5.6478466000e+01  3.7649151600e+02  7.9603982911e-01
   10    1.7540000	 2.3230128300e+00  8.4786033300e-03  2.3145342267e+00  9.9635016939e-01  5.6478466000e+01  3.7649151600e+02  7.9462832217e-01
   10    1.7860000	 2.3263020500e+00  1.0193375900e-02  2.3161086741e+00  9.9561820620e-01  5.6478462200e+01  3.7649151600e+02  7.9350940221e-01
   10    1.8020000	 2.3277566400e+00  1.0542807200e-02  2.3172138328e+00  9.9547082929e-01  5.6478466000e+01  3.7649154700e+02  7.9315752556e-01
   10    1.8180000	 2.3295161700e+00  1.0525332800e-02  2.3189908372e+00  9.9548175156e-01  5.6478466000e+01  3.7649154700e+02  7.9237919845e-01
   10    1.8520000	 2.3331210600e+00  1.1935280600e-02  2.3211857794e+00  9.9488441436e-01  5.6478466000e+01  3.7649151600e+02  7.9134128180e-01
   10    1.8870000	 2.3374247600e+00  6.1401054300e-02  2.2760237057e+00  9.7373132374e-01  5.6478466000e+01  3.7649151600e+02  7.9496293279e-01
   10    1.9270000	 2.3427710500e+00  1.2691186400e-01  2.2158591860e+00  9.4582831131e-01  5.6478466000e+01  3.7649151600e+02  7.9996938163e-01
   10    1.9610000	 2.3477504300e+00  1.1245509200e-01  2.2352953380e+00  9.5210091730e-01  5.6478466000e+01  3.7649151600e+02  7.9802054342e-01
   10    2.0000000	 2.3535463800e+00  7.3074512200e-02  2.2804718678e+00  9.6895131839e-01  5.6478466000e+01  3.7649154700e+02  7.9332125922e-01
   10    2.0200000	 2.3584828400e+00  5.9332057800e-02  2.2991507822e+00  9.7484312508e-01  5.6478466000e+01  3.7649151600e+02  7.9377470649e-01
   10    2.0410000	 2.3620431400e+00  4.8026960300e-02  2.3140161797e+00  9.7966719596e-01  5.6478466000e+01  3.7649154700e+02  7.9216824377e-01
   10    2.0620000	 2.3663146500e+00  4.0258444800e-02  2.3260562052e+00  9.8298685900e-01  5.6478466000e+01  3.7649154700e+02  7.9147719145e-01
   10    2.0830000	 2.3714933400e+00  3.3238016100e-02  2.3382553239e+00  9.8598435191e-01  5.6478466000e+01  3.7649151600e+02  7.9153734963e-01
   10    2.1050000	 2.3759903900e+00  2.8993073900e-02  2.3469973161e+00  9.8779747847e-01  5.6478466000e+01  3.7649154700e+02  7.9076617243e-01
   10    2.1280000	 2.3826065100e+00  2.5366451600e-02  2.3572400584e+00  9.8935348682e-01  5.6478466000e+01  3.7649151600e+02  7.9134540889e-01
   10    2.1510000	 2.3889105300e+00  2.2524075600e-02  2.3663864544e+00  9.9057140261e-01  5.6478466000e+01  3.7649151600e+02  7.9150017600e-01
   10    2.1740000	 2.3956711300e+00  2.1148046500e-02  2.3745230835e+00  9.9117239164e-01  5.6478466000e+01  3.7649154700e+02  7.9190051362e-01
   10    2.1980000	 2.4031918000e+00  2.0700806800e-02  2.3824909932e+00  9.9138611958e-01  5.6478466000e+01  3.7649154700e+02  7.9249135163e-01
   10    2.2220000	 2.4126718000e+00  2.0835556100e-02  2.3918362439e+00  9.9136411504e-01  5.6478466000e+01  3.7649151600e+02  7.9401341690e-01
   10    2.2470000	 2.4234049300e+00  2.2367185000e-02  2.4010377450e+00  9.9077034765e-01  5.6478466000e+01  3.7649151600e+02  7.9583954802e-01
   10    2.2730000	 2.4354417300e+00  2.4355465500e-02  2.4110862645e+00  9.8999956961e-01  5.6478466000e+01  3.7649151600e+02  7.9791008955e-01
   10    2.2990000	 2.4485805000e+00  2.6795228900e-02  2.4217852711e+00  9.8905683154e-01  5.6478466000e+01  3.7649151600e+02  8.0020007554e-01
   10    2.3260000	 2.4655370700e+00  3.0660618100e-02  2.4348764519e+00  9.8756432484e-01  5.6478466000e+01  3.7649151600e+02  8.0375505215e-01
   10    2.3530000	 2.4815814500e+00  3.6232963200e-02  2.4453484868e+00  9.8539924482e-01  5.6478466000e+01  3.7649154700e+02  8.0671727977e-01
   10    2.3810000	 2.5020909300e+00  4.3131012500e-02  2.4589599175e+00  9.8276201237e-01  5.6478466000e+01  3.7649151600e+02  8.1099930106e-01
   10    2.4100000	 2.5247876600e+00  5.1599144900e-02  2.4731885151e+00  9.7956297644e-01  5.6478466000e+01  3.7649151600e+02  8.1565817398e-01
